"Frame" "Untracked" "Tracking ID" "Lineage ID" "Position X (µm)" "Position Y (µm)" "Pixel Position X (Pixels)" "Pixel Position Y (pixels)" "Volume (µm³)" "Mean Thickness (µm)" "Radius (µm)" "Area (µm²)" "Sphericity ()" "Length (µm)" "Width (µm)" "Orientation (°)" "Dry Mass (pg)" "Displacement (µm)" "Instantaneous Velocity (µm/s)" "Instantaneous Velocity X (µm/s)" "Instantaneous Velocity Y (µm/s)" "Track Length (µm)"
38 "1" "56" "55" "462.241607666016" "75.5692749023438" "568" "93" "1098.04858398438" "4.82124948501587" "8.51423358917236" "227.740875244141" "0.859541654586792" "15.4370584487915" "15.4370584487915" "-90" "274.511871337891" "26.8597431182861" "0.00987203326076269" "-0.00414148578420281" "0.00896131340414286" "39.6452407836914"
39 "1" "56" "55" "460.0703125" "79.8559036254883" "566" "98" "1035.70288085938" "4.57424259185791" "8.4895191192627" "226.420639038086" "0.849763154983521" "16.2495346069336" "15.4370584487915" "90" "258.925445556641" "29.3473625183105" "0.0126611469313502" "-0.00560361705720425" "0.011353594250977" "44.4504165649414"
40 "1" "56" "55" "458.200988769531" "83.7557373046875" "563" "103" "1020.75433349609" "4.27154111862183" "8.7214822769165" "238.962875366211" "0.803404927253723" "18.6869659423828" "15.4370584487915" "90" "255.188278198242" "31.969123840332" "0.00811663363128901" "-0.00414545368403196" "0.00697817699983716" "48.7751197814941"
41 "1" "56" "55" "457.088684082031" "84.877067565918" "562" "104" "1086.81372070313" "3.9382336139679" "9.37182426452637" "275.929534912109" "0.773024141788483" "22.1439189910889" "16.6175994873047" "-87.2736892700195" "271.703033447266" "33.3413276672363" "0.00111318053677678" "-0.00110628560651094" "0.000123706107842736" "50.3545532226563"
42 "1" "56" "55" "457.408447265625" "83.8388061523438" "562" "103" "1095.91027832031" "4.15990924835205" "9.15635108947754" "263.387268066406" "0.794668614864349" "18.6869659423828" "16.2495346069336" "90" "273.977325439453" "32.7566986083984" "0.00389435328543186" "-0.00277319131419063" "0.00273411720991135" "51.4409370422363"
43 "1" "56" "55" "455.099304199219" "86.8344116210938" "560" "106" "1107.76806640625" "3.53291654586792" "9.99039840698242" "313.556274414063" "0.678568720817566" "26.3556327819824" "17.0116443634033" "83.4180526733398" "276.941680908203" "35.8229331970215" "0.00507339835166931" "-0.00230872980318964" "0.00451764743775129" "55.2232398986816"
44 "1" "56" "55" "455.752593994141" "87.0831680297852" "560" "107" "1088.70654296875" "3.91748070716858" "9.4053955078125" "277.909881591797" "0.739839017391205" "21.2567882537842" "17.809741973877" "45" "272.176361083984" "35.2839126586914" "0.00234980299137533" "0.000531667959876359" "-0.00228886515833437" "55.9222869873047"
45 "1" "56" "55" "455.481353759766" "85.1811599731445" "560" "104" "1087.10925292969" "3.62740015983582" "9.76706218719482" "299.693786621094" "0.712382197380066" "20.5411357879639" "19.0562324523926" "-66.0375137329102" "271.777008056641" "34.9699478149414" "0.000859254447277635" "-0.000166858852026053" "-0.000842897570692003" "57.8435363769531"
46 "1" "56" "55" "455.631286621094" "86.4674301147461" "560" "106" "1065.07763671875" "3.47729396820068" "9.87404251098633" "306.294982910156" "0.689553260803223" "24.7894649505615" "18.0501976013184" "67.1663513183594" "266.269165039063" "35.2029418945313" "0.00233358237892389" "-0.000831229088362306" "0.00218051951378584" "59.1385154724121"
47 "1" "56" "55" "454.88037109375" "86.7483291625977" "559" "106" "1122.90649414063" "3.58864331245422" "9.97987651824951" "312.896148681641" "0.721363246440887" "24.7078418731689" "16.3507766723633" "63.4349517822266" "280.726348876953" "36.0039558410645" "0.00393602857366204" "-0.000645058520603925" "-0.00388281070627272" "59.9402503967285"
