"Frame" "Untracked" "Tracking ID" "Lineage ID" "Position X (µm)" "Position Y (µm)" "Pixel Position X (Pixels)" "Pixel Position Y (pixels)" "Volume (µm³)" "Mean Thickness (µm)" "Radius (µm)" "Area (µm²)" "Sphericity ()" "Length (µm)" "Width (µm)" "Orientation (°)" "Dry Mass (pg)" "Displacement (µm)" "Instantaneous Velocity (µm/s)" "Instantaneous Velocity X (µm/s)" "Instantaneous Velocity Y (µm/s)" "Track Length (µm)"
55 "1" "3" "3" "107.095970153809" "413.020690917969" "131" "508" "1652.50073242188" "4.74485874176025" "10.5230417251587" "347.882446289063" "0.86130166053772" "22.5257549285889" "20.3067989349365" "65.5560455322266" "413.124908447266" "35.7468147277832" "0.00583947543054819" "-0.0057333204895258" "-0.00110838143154979" "168.741027832031"
56 "1" "3" "3" "100.877708435059" "417.173797607422" "124" "513" "1625.98852539063" "4.71388149261475" "10.4730033874512" "344.581848144531" "0.875877559185028" "20.311918258667" "19.4994430541992" "90" "406.496765136719" "28.3662662506104" "0.00421980768442154" "-0.00374313979409635" "0.00194825069047511" "176.218658447266"
57 "1" "3" "3" "104.400909423828" "414.423431396484" "128" "510" "1650.42041015625" "4.89934635162354" "10.3519248962402" "336.660430908203" "0.900981545448303" "19.4994430541992" "19.4994430541992" "0" "412.604736328125" "32.8136711120605" "0.004863774869591" "0.00172660616226494" "-0.00454699201509357" "180.688278198242"
58 "1" "3" "3" "102.120864868164" "413.899963378906" "125" "509" "1619.53894042969" "4.78925848007202" "10.37220287323" "337.980651855469" "0.883885681629181" "20.311918258667" "19.4994430541992" "90" "404.884246826172" "31.572868347168" "0.00230932794511318" "-0.00221691140905023" "-0.000646760745439678" "183.027648925781"
59 "1" "3" "3" "102.804733276367" "413.957763671875" "126" "509" "1623.76123046875" "4.76058006286621" "10.4126396179199" "340.621124267578" "0.878478646278381" "20.311918258667" "19.4994430541992" "0" "405.940093994141" "32.0032157897949" "0.00112772930879146" "0.000178782138391398" "0.00111346773337573" "183.713943481445"
60 "1" "3" "3" "102.249588012695" "414.70166015625" "125" "510" "1612.90087890625" "4.76859045028687" "10.37220287323" "337.980651855469" "0.890869557857513" "19.4994430541992" "19.4994430541992" "0" "403.224945068359" "31.0829944610596" "0.00142762903124094" "-0.000183370371814817" "0.00141580367926508" "184.642150878906"
61 "1" "3" "3" "102.672706604004" "414.977142333984" "126" "510" "1627.55017089844" "4.7368221282959" "10.4529218673706" "343.261596679688" "0.877084672451019" "20.311918258667" "19.4994430541992" "0" "406.887023925781" "31.1858367919922" "0.0019120539072901" "0.00124177429825068" "0.00145394180435687" "185.147048950195"
62 "1" "3" "3" "103.144973754883" "415.750640869141" "126" "511" "1624.91906738281" "4.61445951461792" "10.5827760696411" "351.843139648438" "0.868625700473785" "20.311918258667" "19.4994430541992" "90" "406.229217529297" "30.9896068572998" "0.00173910241574049" "8.43702437123284E-05" "-0.00173705467022955" "186.053329467773"
63 "1" "3" "3" "102.735900878906" "413.734222412109" "126" "509" "1626.54699707031" "4.61160326004028" "10.5926990509033" "352.503265380859" "0.86646580696106" "20.311918258667" "19.4994430541992" "0" "406.636627197266" "32.1163444519043" "0.00153405545279384" "2.8682004995062E-05" "-0.00153378723189235" "188.110824584961"
64 "1" "3" "3" "103.167961120605" "414.654479980469" "126" "510" "1645.2041015625" "4.65504455566406" "10.6026124954224" "353.163360595703" "0.869228601455688" "20.311918258667" "19.4994430541992" "0" "411.300842285156" "31.7649936676025" "0.000535925792064518" "-0.000320125924190506" "0.000429809064371511" "189.127456665039"
65 "1" "3" "3" "102.506607055664" "414.046234130859" "126" "509" "1616.75415039063" "4.49076986312866" "10.701244354248" "359.764587402344" "0.844517171382904" "20.311918258667" "20.311918258667" "0" "404.188110351563" "31.7324619293213" "0.00390216009691358" "-0.00167726934887469" "0.00352329667657614" "190.025985717773"
66 "1" "3" "3" "101.960327148438" "417.191253662109" "125" "513" "1648.51843261719" "4.40920114517212" "10.9054660797119" "373.627075195313" "0.834028601646423" "21.1243953704834" "20.311918258667" "90" "412.129425048828" "29.1413230895996" "0.0141558051109314" "0.00605426356196404" "0.012795808725059" "193.21809387207"
67 "1" "3" "3" "106.865676879883" "423.259216308594" "131" "520" "1653.08154296875" "4.37740993499756" "10.9631156921387" "377.587768554688" "0.825338363647461" "21.1243953704834" "20.311918258667" "90" "413.269836425781" "29.6820526123047" "0.0151764992624521" "0.015092589892447" "0.00159370107576251" "201.02082824707"
68 "1" "3" "3" "112.810432434082" "418.352386474609" "138" "514" "1656.75512695313" "4.37148475646973" "10.9822664260864" "378.908020019531" "0.821387827396393" "21.9368724822998" "20.311918258667" "90" "414.188232421875" "37.2534866333008" "0.00913174357265234" "0.00553284212946892" "-0.00726473703980446" "208.729080200195"
69 "1" "3" "3" "110.827270507813" "418.041412353516" "136" "514" "1646.86474609375" "4.30039072036743" "11.0395154953003" "382.868713378906" "0.815420210361481" "21.1243953704834" "20.311918258667" "90" "411.7158203125" "35.711483001709" "0.00665076961740851" "0.00658541824668646" "-0.000930055975914001" "210.736480712891"
